"Add New Category","Dodaj nową kategorię"
"Leave blank to use Meta Title by default.","Pozostaw puste, aby domyślnie używać tytułu meta."
"OG Description","OG - opis"
"Leave blank to use Meta Description by default.","Pozostaw puste, aby domyślnie używać meta opisu."
"OG Image","OG - obraz"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Pozostaw puste, aby domyślnie używać wyróżnionego obrazu. Zezwalaj na typ obrazu: jpg, jpeg, gif, png."
"OG Type","OG - typ"
"Leave blank to use ""article"" type by default.","Pozostaw puste pole, aby domyslnie użyć typu ""artykuł"""
"Post in Websites","Wpis w witrynach"
"Related Posts and Products","Powiązane posty i produkty"
"Related posts are shown to customers in addition to the item the customer is looking at.","Powiązane posty są wyświetlane klientom oprócz pozycji, na którą patrzy klient."
"Add Related Post","Dodaj powiązany post"
"Add Related Posts","Dodaj powiązane posty"
"Add Selected Posts","Dodaj wybrane posty"
"January","Styczeń"
"February","Luty"
"March","Marzec"
"April","Kwiecień"
"May","Maj"
"June","Czerwiec"
"July","Lipiec"
"August","Sierpień"
"September","Wrzesień"
"October","Październik"
"November","Listopad"
"December","Grudzień"
"Jan","Sty"
"Feb","Lut"
"Mar","Marz"
"Apr","Kwi"
"May","Maj"
"Jun","Cze"
"Jul","Lip"
"Aug","Sie"
"Sep","Wrz"
"Oct","Paź"
"Nov","Lis"
"Dec","Gru"
"Reply","Odpowiedz"
"Show more replies in this thread","Pokaż więcej odpowiedzi w tym wątku"
"%1 Comment(s)","%1 Komentarz(e)"
"Add a comment...","Dodaj komentarz..."
"Add a reply...","Dodaj odpowiedź..."
"Sign in to add a comment...","Zaloguj się, aby dodać komentarz ..."
"Sign in to add a reply...","Zaloguj się, aby dodać odpowiedź..."
"Full Name","Pełna nazwa"
"Load more comments","Załaduj więcej komentarzy"
"Login to submit comment","Zaloguj się, aby przesłać komentarz"
"You cannot post comment. Blog post is not longer exist.","Nie możesz komentować. Post na blogu już nie istnieje"
"You cannot reply to this comment. Comment is not longer exist.","Nie możesz odpowiedzieć na ten komentarz. Komentarz już nie istnieje."
"You cannot reply to this comment.","Nie możesz odpowiedzieć na ten komentarz."
"You submitted your comment for moderation.","Przesłałeś swój komentarz do moderacji."
"Thank you for your comment.","Dziękujemy za Twój komentarz."
"Import Categories","Import kategorii"
"Import Comments","Import komentarzy"
"Import Posts","Import wpisów"
"Import from aheadWorks Blog Extension","Importuj z rozszerzenia bloga aheadWorks"
"Import from Joomla","Importuj z Joomla"
"Import from Blogger.com","Importuj z Blogger.com"
"Import from Drupal","Importuj z Drupala"
"Import from CSV","Importuj z CSV"
"Import from XML","Importuj z XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Tak, przeczytałem %1 i zgadzam się na przetwarzanie moich danych osobowych."
"privacy policy","polityka prywatności"
"Read more","Przeczytaj więcej"
"Recent Posts","Ostatnie posty"
"We can't find posts matching the selection.", "Nie ma żadnych wpisów."
"Posted", "Opublikowane"
"Categories", "Kategorie"
"views", "Wyświetlenia"
"Read %1", "Czytaj %1"
"&larr; Previous", "&larr; Poprzedni"
"Next &rarr;", "Następny &rarr;"
"%1 Comment(s)", "%1 Komentarz(y)"
"Add a comment...", "Dodaj komentarz..."
"Sign in to add a comment...", "Zaloguj się, aby dodać komentarz"
"Submit", "Wyślij"
"Sign In", "Zaloguj się"
"privacy policy", "politykę prywatności"
"Yes, I have read the %1 and agree to the processing of my personal data.", "Tak, przeczytałem/am %1 i akceptuję przetwarzanie moich danych."
"Popular Posts", "Popularne posty"
"Archive ", "Archiwum"
"Thank you for your comment.", "Dziekujemy za Twój komentarz."
"Add a reply...", "Dodaj odpowiedź..."
"Comments", "Komentarze"
"Related posts", "Powiązane wpisy"
"Related Posts", "Powiązane wpisy"
"Related Products", "Powiązane produkty"
"Related products", "Powiązane produkty"
"Also check", "Sprawdź też"
"Short Content", "Krótka zawartość"
"Duplicate", "Duplikuj"
"Show / Hide Editor", "Pokaż / ukryj edytor"
"Add Blog Blocks via Widgets", "Dodaj bloki bloga poprzez widgety"
"Enable Extension", "Włącz moduł"
"Posts Sort By", "Sortuj wpisy wg"
"Post Page (Post View)", "Strona wpisu (widok posta)"
"Previous and Next Post", "Poprzedni i następny wpis"
"Views Count", "Ilość wyświetleń"
"Number of Replies", "Liczba odpowiedzi"
"Allow Guest Comments", "Komentarze dla niezalogowanych"
"New Comment Status", "Status nowego komentarza"
"Display Privacy Policy Agreement (GDPR)", "Wyświetl politykę prywatności (RODO)"
"Calculate & Display Views Counts", "Oblicz i pokaż liczbę wyświetleń"
"Default Short Content Length", "Domyślna długość krótkiej zawartości"
"Featured Image Alt", "Alt wyróżnionego zdjęcia"
"Include in Recent Posts", "Uwzględnij w ostatnich postach"
