"Add New Category","Añadir nueva categoria"
"Archive Widget","Archivo de Widget"
"Tag Claud Widget","Etiqueta Claud Widget"
"Rss Feed","RSS Feed"
"Feed Title","Título del Feed"
"Feed Description","Descripción del Feed"
"Product Page","Página del producto"
"Permalink Settings","Configuraciones de Permalinks"
"Blog Route","Ruta del blog"
"Permalink Type","Tipo de Permalink"
"Post Route","Ruta de publicación"
"Category Route","Ruta de la Categoría"
"Archive Route","Ruta de archivo"
"Tag Route","Ruta de etiquetas"
"Author Route","Ruta del autor"
"Search Route","Ruta de búsqueda"
"Social","Redes Sociales"
"AddThis Enabled","AddThis Activado"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Idioma"
"Category Top Navigation","Categoría Navegación superior"
"Display Blog Link","Mostrar enlace de blog"
"Blog Category","Categoría del blog"
"Leave blank to display posts from all categories.","Déjelo en blanco para mostrar los mensajes de todas las categorías."
"Custom Template","Plantilla personalizada"
"Published","Publicado"
"Category Information","Información de Categoría"
"Enable Category","Habilitar categoría"
"Category Title","Categoría Título"
"Category in Websites","Categoría en los sitios web"
"-- Please Select --","- Seleccione -"
"Tag Title","Título de la etiqueta"
"Post Information","Publicar información"
"Enable Post","Activar publicación"
"Post Title","Título de la entrada"
"New Category","Nueva categoría"
"Additional Options","Opciones adicionales"
"Featured Image","Foto principal"
"Publish Date","Fecha de publicación"
"New Tag","Nueva etiqueta"
"Open Graph Metadata","Abrir Gráfico de Metadatos"
"OG Title","Título OG"
"Leave blank to use Meta Title by default.","Déjelo en blanco para usar el Meta título por defecto."
"OG Description","Descripción OG"
"Leave blank to use Meta Description by default.","Déjelo en blanco para usar la Meta Descripción por defecto."
"OG Image","Imagen OG"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Déjelo en blanco para usar la imagen destacada de forma predeterminada. Permitir tipo de imagen: jpg, jpeg, gif, png."
"OG Type","Tipo OG"
"Leave blank to use ""article"" type by default.","Déjelo en blanco para utilizar el tipo de artículo por defecto."
"Post in Websites","Publicar en sitios web"
"Related Posts and Products","Publicaciones y productos relacionados"
"Related posts are shown to customers in addition to the item the customer is looking at.","Las publicaciones relacionadas se muestran a los clientes además del artículo que el cliente está mirando."
"Add Related Post","Añadir publicación relacionada"
"Add Related Posts","Añadir publicaciones relacionadas"
"Add Selected Posts","Añadir publicaciones seleccionadas"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Jan","Ene"
"Feb","Feb"
"Mar","Mar"
"Apr","Abr"
"May","Mayo"
"Jun","Jun"
"Jul","Jul"
"Aug","Ago"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dic"
"Reply","Reply"
"Show more replies in this thread","Show more replies in this thread"
"%1 Comment(s)","%1 Comment(s)"
"Add a comment...","Add a comment..."
"Add a reply...","Add a reply..."
"Sign in to add a comment...","Sign in to add a comment..."
"Sign in to add a reply...","Sign in to add a reply..."
"Full Name","Full Name"
"Load more comments","Load more comments"
"Login to submit comment","Login to submit comment"
"You cannot post comment. Blog post is not longer exist.","You cannot post comment. Blog post is not longer exist."
"You cannot reply to this comment. Comment is not longer exist.","You cannot reply to this comment. Comment is not longer exist."
"You cannot reply to this comment.","You cannot reply to this comment."
"You submitted your comment for moderation.","You submitted your comment for moderation."
"Thank you for your comment.","Thank you for your comment."
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Posts","Import Posts"
"Import from aheadWorks Blog Extension","Import from aheadWorks Blog Extension"
"Import from Joomla","Import from Joomla"
"Import from Blogger.com","Import from Blogger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
