Add New Category,Adauga Categorie Noua
Post List,Lista Postari
Posts Per Page,Postari pe Pagina
Use Lazy Loading,Foloseste Incarcarea Lazy
Automatically load more posts on page.,Incarca Automat mai multe postari pe pagina
Auto Triger Padding (px),Distantare declansata Automat (px)
Author,Author
Display Author Information,Arata Informatii despre Autor
Display Post List By Author,Arata Lista Postarilor dupa Autor
Sidebar,Bara Laterala
Search Form Widget,Widget pt Cautare
Categories Widget,Widget Categorii
Recent Posts Widget,Widget Postari Recente
Posts Number,Numarul de Postari
Archive Widget,Widget Arhiva
Tag Claud Widget,Widget Tag Cloud
Rss Feed,Informatii RSS
Feed Title,Titlu Informatii
Feed Description,Descriere Informatii
Product Page,Pagina Produs
Permalink Settings,Setari Permalink
Blog Route,Calea URL Blog
Permalink Type,Tipul Permalink
Post Route,Calea URL Postare
Category Route,Calea URL Categorie
Archive Route,Calea URL Arhiva
Tag Route,Calea URL Tag
Author Route,Calea URL Autor
Search Route,Calea URL Cautare
Social,Social
AddThis Enabled,AdaugaAsta Activat
AddThis ID,AdaugaAsta ID
AddThis Language,AdaugaAsta Limba
Category Top Navigation,Navigare Categorii Top
Display Blog Link,Arata Link-ul Blog-ului
Blog Category,Categorie Blog
Leave blank to display posts from all categories.,Nu completa pentru a afisa postari din toate categoriile.
Custom Template,Template Personalizat
Published,Publicat
Category Information,Informatii Categorie
Enable Category,Activeaza Categoria
Category Title,Titlu Categorie
Category in Websites,Categorii in Website
-- Please Select --,-- Alege --
Tag Title,Titlu Tag
Post Information,Informatii Postare
Enable Post,Activeaza Postarea
Post Title,Titlu Postare
New Category,Categorie Noua
Additional Options,Optiuni Suplimentare
Featured Image,Imagini Promovate
Publish Date,Data Publicarii
New Tag,Tag Nou
Open Graph Metadata,Open Graph Metadata
OG Title,OG Title
Leave blank to use Meta Title by default.,Leave blank to use Meta Title by default.
OG Description,OG Description
Leave blank to use Meta Description by default.,Leave blank to use Meta Description by default.
OG Image,OG Image
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png."
OG Type,OG Type
"Leave blank to use ""article"" type by default.","Leave blank to use ""article"" type by default."
Post in Websites,Post in Websites
Related Posts and Products,Related Posts and Products
Related posts are shown to customers in addition to the item the customer is looking at.,Related posts are shown to customers in addition to the item the customer is looking at.
Add Related Post,Adauga Postare Similara
Add Related Posts,Adauga Postari Similare
Add Selected Posts,Adauga Postarile Selectate
"January","Ianuarie"
"February","Februarie"
"March","Martie"
"April","Aprilie"
"May","Mai"
"June","Iunie"
"July","Iulie"
"August","August"
"September","Septembrie"
"October","Octombrie"
"November","Noiembrie"
"December","Decembrie"
"Jan","Ian"
"Feb","Feb"
"Mar","Mar"
"Apr","Apr"
"May","Mai"
"Jun","Iun"
"Jul","Iul"
"Aug","Aug"
"Sep","Sep"
"Oct","Oct"
"Nov","Noi"
"Dec","Dec"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Posts","Import Posts"
"Import from aheadWorks Blog Extension","Import from aheadWorks Blog Extension"
"Import from Joomla","Import from Joomla"
"Import from Blogger.com","Import from Blogger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
