"%1 Comment(s)","%1 Yorum"
"Mageplaza Blog Extension not detected.","Mageplaza Blog Eklentisi bulunamadı."
"Manage %1","Yönet %1"
"Mar","Mar"
"March","Mart"
"Mark as Pending","Beklemede Olarak İşaretle"
"Maximal Depth","En Fazla Derinlik"
"May","May"
"May","Mayıs"
"Media Gallery","Resim Galerisi"
"Meta Description","Meta Açıklaması"
"Meta Keywords","Meta Kelimeleri"
"Meta Robots","Meta Robotları"
"Meta Title","Meta Başlığı"
"Mirasvit Blog Extension not detected.","Mirasvit Blog Eklentisi bulunamadı."
"Monthly Archives: %s %s","Aylık Arşivler: %s %s"
"Nead a new blog feature?","Yeni bir blog özelliği mi istiyorsunuz ?"
"New %1","Yeni %1"
"New Category","Yeni Kategori"
"New Comment Status","Yeni Yorum Durumu"
"New Layout Update XML","Yeni Yapı Güncellemesi XML'i"
"New Layout","Yeni Yapı"
"New Tag","Yeni Etiket"
"New Theme","Yeni Şablon"
"Next &rarr;","Sonraki &rarr;"
"Not Approved","Onaylanmadı"
"Nothing to import.","Alınacak veri yok."
"Nov","Kas"
"November","Kasım"
"Number of Comments","Yorum Sayısı"
"Number of Posts","Yazı Sayısı"
"Number of Products","Ürün Sayısı"
"Number of Replies","Cevap Sayısı"
"Number of Tags","Etiket Sayısı"
"OG Description","OG Açıklaması"
"OG Image","OG Resmi"
"OG Title","OG Başlığı"
"OG Type","OG Tipi"
"Oct","Eki"
"October","Ekim"
"Open Graph Metadata","Open Graph Meta Bilgisi"
"Out of stock","Stokta yok"
"Parameter ""Status"" missing in request data.","İstem verisinde ""Durum"" parametresi eksik."
"Parameter %1 is required","%1 parametresi zorunludur"
"Parent Category","Üst Kategori"
"Parent Comment","Üst Yorum"
"Permalink Settings","Kalıcı Bağlantı Ayarları"
"Permalink Type","Kalıcı Bağlantı Tipi"
"Please enter your name and email","Lütfen adınızı ve e-mail adresinizi giriniz"
"Please indicate number of recent posts you want to display. Leave blank to use predefined ""Posts Per Page"" value.","Lütfen göstermek istediğiniz 'Son Yazılar' sayısını belirtiniz. Önceden ayarlanmış 'Sayfa Başı Yazı' değerinin kullanılması için bu alanı boş bırakınız."
"Please indicate post IDs (separated by comma) you want to display.","Lütfen göstermek istediğiniz yazı numaralarını ( virgülle ayırarak ) giriniz."
"Please select","Lütfen seçiniz"
"Please specify title you want to display on the frontend. You can leave it blank if necessary.","Lütfen önyüzde görüntülemek istediğiniz başlığı belirtiniz. Gerekirse boş bırakabilirsiniz."
"Popular Posts Widget","Popüler Yazılar Kutucuğu"
"Popular Posts","Popüler Yazılar"
"Post ID","Post No"
"Post IDs","Post No"
"Post Information","Yazı Bilgisi"
"Post List","Yazı Listesi"
"Post Page (Post View)","Yazı Sayfsı (Yazı Görünümü)"
"Post Route","Yazı Yolu"
"Post Title","Yazı Başlığı"
"Post URL Suffix","Yazı Adesi Soneki"
"Post View","Yazı Görünümü"
"Post in Websites","Yazı Web Siteleri"
"Posts & Subcategories Links","Yazı ve Alt Kategori Linkleri"
"Posts (default)","Yazılar (varsayılan)"
"Posts Author","Yazı Yazarları"
"Posts Category","Yazı Kategorileri"
"Posts Links","Yazı Bağlantıları"
"Posts Number","Yazı Sayısı"
"Posts Per Page","Sayfa Başı Yazı Sayısı"
"Posts Publish Date From","Yazı Yayın Tarihi Başlangıcı"
"Posts Publish Date To","Yazı Yayın Tarihi Sonu"
"Posts Sort By","Yazı Sırala"
"Posts Tag","Yazı Etiketi"
"Posts loader","Yazı yükleyici"
"Preview and Next Post","Önceki ve Sonraki Yazı"
"Product Key","Ürün Anahtarı"
"Product Page","Ürün Sayfası"
"Publish Date (default)","Yayın Tarihi (default)"
"Publish Date","Yayınlanma Tarihi"
"RSS Feed","RSS Akışı"
"Read %1","Oku %1"
"Read more &#187;","Daha fazla &#187;"
"Read more >","Daha fazla >"
"Recent Blog Posts","Son Yazılar"
"Recent Posts Widget","Son Yazılar Kutucuğu"
"Recent Posts","En Son Yazılar"
"Related Posts and Products","İlişkili Yazılar ve Ürünler"
"Related Posts","İlişkili Yazılar"
"Related Products","İlişkili Ürünler"
"Related posts are shown to customers in addition to the item the customer is looking at.","İlişkili yazılar müşterinin okuduğu yazının yanında gösterilir."
"Related posts","İlişkili yazılar"
"Related products are shown to customers in addition to the item the customer is looking at.","İlişkili ürünler müşterinin okuduğu yazının yanında gösterilir."
"Reply","Cevapla"
"Requested item doesn't exist","İstenen kayıt bulunamadı"
"Rss Feed","Rss Akışı"
"Search ""%1""","Ara ""%1"""
"Search Engine Optimization","Arama Motoru Optimizasyonu"
"Search Form Widget","Arama Formu Kutucuğu"
"Search Route","Arama Yolu"
"Search posts here...","Blog'da ara..."
"See more","Daha fazla"
"Sep","Eyl"
"September","Eylül"
"Share with friends","Arkadaşlarınla paylaş"
"Short Content","Kısa İçerik"
"Short: mystore.com/{blog_route}/post-title/","Kısa: mystore.com/{blog_route}/post-title/"
"Show more replies in this thread","Bu başlıkta daha fazla yorum göster"
"Sign In","Giriş Yap"
"Sign in to add a comment...","Yorum yapmak için giriş yapınız..."
"Sign in to add a reply...","Cevaplamak için giriş yapınız..."
"Some blog comments are pending for approval. <a href=""%1"">Manage Comments</a>.","Bazı blog yorumları onay bekliyor. <a href=""%1"">Yorumları Yönet</a>."
"Something went wrong %1","Bir şeyler yanlış gitti %1"
"Something went wrong while saving the file(s).","Dosya kaydedilirken bir sorun oluştu."
"Something went wrong while saving this %1. %2","Kaydederken bir sorun oluştu %1. %2"
"Something went wrong: ","Bir hata oluştu: "
"Sort Order","Sıralama"
"Start Import","Veri Almaya Başla"
"Status Field Name is not specified.","Durum Alanı Adı belirtilmedi."
"Store View","Mağaza Görünümü"
"Subcategories Links","Alt Kategori Bağlantıları"
"Table Prefix","Tablo ÖnEki"
"Tag Claud Widget","Etiket Bulutu Kutucuğu"
"Tag ID","Etiket No"
"Tag Route","Etiket Yolu"
"Tag Title","Etiket Başlığı"
"Tag URL Suffix","Etiket Adresi Soneki"
"Thank you for your comment.","Yorumunuz için teşekkür ederiz."
"The category URL key cannot be made of only numbers.","Kategori adresi sadece rakamdan oluşamaz."
"The category URL key contains disallowed symbols.","Kategori adresi izin verilmeyen karakterler içeriyor."
"The distance in pixels from the bottom of the scrollable content at which to trigger the loading of the next set of posts.","Sayfa aşağı kaydırıldıkça en alta olan uzaklık buraya gireceğiniz değerden az olunca sonraki yazıların yüklenmesi tetiklenir."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Veri alım işlemi tamamlandı. %1 yazı, %2 kategori verisi alındı. Bazı yazılar ve kategorilerin verisi alınamadı.<br/> %3 %4"
"The import process was completed successfully. %1 posts and %2 categories where imported.","Veri alım işlemi tamamlandı. %1 yazı, %2 kategori verisi alındı."
"The post URL key cannot be made of only numbers.","Yazı adresi sadece rakamdan oluşamaz."
"The post URL key contains disallowed symbols.","Kategori adresi izin verilmeyen noktalama karakterleri içeriyor."
"The tag URL key cannot be made of only numbers.","Etiket adresi sadece rakamdan oluşamaz."
"The tag URL key contains disallowed symbols.","Etiket adresi izin verilmeyen karakterler içeriyor."
"The tag is already exist.","Etiket zaten var."
"This will be included before head closing tag in page HTML.","HTML içeriğindeki HEAD etiketi kapanmadan önce eklenecektir."
"URL Key","URL Anahtar Kelimesi"
"URL key is already in use by another blog item.","Bu adres anahtarı zaten başka bir blog içeriğine ait."
"Unable to remove item","Kayıt silinemedi"
"Unable to save item","Veri kaydedilemedi"
"Use Canonical Link Meta Tag For","Canonical Link Meta Etiketi Kullan"
"Use Categories Path for Post URLs","Yazı adresleri için üst kategori yolunu kullan"
"Use Disqus Comments","Disqus Yorumlarını Kullan"
"Use Facebook Comments","Facebook Yorumlarını Kullan"
"Use Google Comments","Google Yorumlarını Kullan"
"Use Lazy Loading","Lazy Loading Kullan"
"Use Magefan Blog Comments","Magefan Blog Yorumlarını Kullan"
"Use Parent Category Path for Category URLs","Kategori adresleri için üst kategori yolunu kullan"
"User Name","Kullanıcı Adı"
"Views Count","Gösterim Sayısı"
"We can't change status of %1 right now. %2","%1 için durum değiştirilemiyor. %2"
"We can't delete %1 right now. %2","%1 silinemiyor. %2"
"We can't find posts matching the selection.","Seçiminize uygun yazı bulunamadı."
"Yes (With auto trigger)","Evet (Otomatik tetikleyici ile)"
"Yes (Without auto trigger)","Yes (Otomatik tetikleyici olmadan)"
"Yes, I have read the %1 and agree to the processing of my personal data.","Evet, %1 okudum ve kişisel verilerimin işlenmesi ile ilgili koşulları kabul ediyoruz."
"You can set a future date to schedule the publication. The post will not be available for reading until this date.","Yazıyı yayına almak için gelecekteki bir tarih ayarlayabilirsiniz. Bu tarihe kadar yazı okunamayacak."
"You cannot post comment. Blog post is not longer exist.","Yazıya yorum yapmanıza izin verilmiyor. Yorum yapacağınız yazıya ulaşılamıyor."
"You cannot reply to this comment. Comment is not longer exist.","Bu yoruma cevap vermenize izin verilmiyor. Cevaplayacağınız yoruma ulaşılamıyor."
"You cannot reply to this comment.","Bu yoruma cevap vermenize izin verilmiyor."
"You submitted your comment for moderation.","Yorumunuz değerlendirilmek üzere kaydedildi."
"privacy policy","gizlilik poliçesi"
Actions,İşlemler
Admin,Yönetim
Approve,Onayla
Approved,Onaylandı
Archive,Arşiv
AttributeSetText,AttributeSetText
Author,Yazar
Author:,Yazar:
Blog,Blog
Cancel,İptal
Categories,Kategoriler
Categories:,Kategoriler:
Category,Kategori
Color,Renk
Comment,Yorum
Comments,Comments
Comments,Yorumlar
Comments:,Daha fazla:
Content,İçerik
Customer,Müşteri
Custumer,Müşteri
Delete,Sil
Deny,Reddet
Design,Tasarım
Disable,Pasifleştir
Disabled,Pasif
Duplicated,Çoğaltıldı
Email,Email
Enable,Etkinleştir
Enabled,Etkin
From,Başlangıç
General,Genel
Guest,Misafir
HTML,HTML
Hidden,Gizli
Home,Ana Sayfa
ID,No
Layout,Yapı
Modified,Düzenleme
NOTICE,NOT
NOTICE,Not
Name,Adı
Nickname,Takma Adı
No,Hayır
Password,Şifre
Pending,Beklemede
Position,Pozisyon
Post,Yazı
Posted:,Ekleme Tarihi:
Price,Price
Published,Yayınlanma Tarihi
Remove,Sil
Reply,Cevapla
SKU,ÜrünKodu
Search,Ara
Sidebar,Yan Bar
Social,Sosyal
Status,Durum
StatusText,Durum Yazısı
Submit,Gönder
Tag,Etiket
Tags,Etiketler
Tags:,Etiketler:
Text,Yazı
Thumbnail,Küçük Resim
Title,Title
To,Bitiş
Type,Tip
Views:,Gösterim:

"The import process was completed successfully. 
                        %1 posts, %2 categories, %3 tags and %4 comments where imported.","Veri alma işlemi tamamlandı. %1 yazı, %2 kategori, %3 etiket ve %4 yorum verisi alındı."

"The import process completed. %1 posts, %2 categories, %3 tags and %4 comments where imported. 
                        Some posts or categories or tags or comments where skipped. %5 %6 %7 %8","Veri alma işlemi tamamlandı. %1 yazı, %2 kategori, %3 etiket ve %4 yorum verisi alındı. 
                        Bazı yazılar, kategoriler, etiketler veya yorumlar ise alınmadı. %5 %6 %7 %8"

"
                        <strong>Notice:</strong> <em>Please use this section only if you need to enter short content completely different from main content.<br/>Please <a href=""https://magefan.com/blog/add-read-more-tag-to-blog-post-content/"" target=""_blank"" title=""Add &quot;read more&quot; tag to Magento 2 blog post content"">read more</a> about how to configure ""read more"" tag.</em>
                    ","
                        <strong>Not:</strong> <em>Lütfen bu bölümü yalnızca ana içerikten tamamen farklı kısa içerik girmeniz gerekiyorsa kullanın.<br/>'Devamını oku' ayarını nasıl yapacağınızı görmek için lütfen <a href=""https://magefan.com/blog/add-read-more-tag-to-blog-post-content/"" target=""_blank"" title=""Magento2 blog yazısı içeriğine  &quot;devamını oku&quot; etiketi eklemek"">buraya</a> tıklayınız.</em>
                    "

"
                    Enter user ID.
                ","Kullanıcı No giriniz."

"Magefan Blog is disabled, to enable the extension please navigate to
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.",""Magefan Blog kullanım dışı, kullanmaya devam etmek istiyorsanız <a href=""%1"" target=""_blank"">Mağazalar > Ayarlar > Magefan Eklentileri > Blog</a> kısmına girip etkinleştirmeniz gerekiyor."

"Magefan Blog <strong>Product Key</strong> is missing. 
                        Blog Extension will be automatically disabled soon. Please specify the product key in 
                        <a href=""%1"" target=""_blank"">Stores > Configuration > Magefan Extensions > Blog</a>.","Magefan Blog <strong>Ürün Anahtarı</strong> bulunamadı. 
                        Blog Eklentisi bir süre sonra devre dışı kalacak. Lütfen <a href=""%1"" target=""_blank"">Mağazalar > Ayarlar > Magefan Eklentileri > Blog</a> kısmına ürün anahtarını giriniz."

"Your Blog Extension is out of date. You can update it to the <strong>version %1</strong>
                     via composer or you can download the new version archive from the 
                     <a href=""%2"" target=""_blank"">Magefan Store</a>.
                     Please <a href=""%3""   target=""_blank"">contact</a> 
                     Magefan Team if you have any questions or need help with an update.","Blog eklentinizin sürümü eski. Composer ile veya <a href=""%2"" target=""_blank"">Magefan Mağazasından</a> doğrudan indirerek <strong>%1</strong> versiyona güncelleyebilirsiniz.
                     Magefan ekibine bir sorunuz varsa lütfen <a href=""%3""   target=""_blank"">buraya tıklayarak</a> bize ulaşın"

"<a href=""https://developers.facebook.com/docs/apps/register/"" target=""_blank"">
                                How do I get a Facebook Application ID?
                            </a>","<a href=""https://developers.facebook.com/docs/apps/register/"" target=""_blank"">
                                Facebook Uygulama Numarası nasıl alınır?
                            </a>"
"Insert Facebook Application ID (fb:app_id) In HEAD Tag","Facebook Uygulama Numarasını (fb:app_id) HEAD Etiketi içine yerleştir"

"Your Disqus Forum Shortname","Disqus Forum Kısa Adınız"

"<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">
                                What's a shortname?
                            </a>","<a href=""https://help.disqus.com/customer/portal/articles/466208"" target=""_blank"">
                                Kısa ad nedir?
                            </a>"

"
                    Leave blank to use default template <em>Magefan_Blog::widget/recent.phtml</em>.<br/>
                    <em>Magefan_Blog::widget/recent_masonry.phtml</em> template is also available out of the box.
                ","
                    Varsayılan temayı ( <em>Magefan_Blog::widget/recent.phtml</em>.<br/> ) kullanmak için burayı boş bırakınız.
                    Ayrıca <em>Magefan_Blog::widget/recent_masonry.phtml</em> temasını da kullanabilirsiniz.
                "

"Magefan Blog Extension - Featured Blog Posts","Magefan Blog Eklentisi - Öne Çıkan Yazılar"

"
                    Leave blank to use default template <em>Magefan_Blog::widget/recent.phtml</em>.
                ","
                    Varsayılan şablonu <em>Magefan_Blog::widget/recent.phtml</em> kullanmak için boş bırakınız.
                "

"
                    Enter user ID.
                ","
                    Kullanıcı no giriniz.
                "
Yönet Posts,Yazıları Yönet
Add Blog Blocks via Widgets,Kutucukları Kullanarak Blog Blokları Ekle
"Posts","Yazılar"
"Search Posts","Ara"
