Add New Category,Adicionar Nova Categoria
Read more,Leia mais
Read more »,Leia mais »
See more,Veja mais
Read %1,Leia %1
← Previous,← Anterior
Previous,Anterior
Next →,Próximo →
Next,Próximo
Related Posts,Postagens relacionadas
Archive,Arquivo
Archive %s,Arquivo %s
Recent Posts,Postagens recentes
RSS Feed,Feed RSS
Search posts here...,Procure postagens aqui...
Tags,Tags
MageFan Extensions,Extensões MageFan
Blog Information,Informações do Blog
Blog Index Page,Página de Índice do Blog
Post View,Visualização da Postagem
Display Related Posts,Exibir postagens relacionadas
Number of Posts,Número de Postagens
Display Related Products,Exibir produtos relacionados
Number of Products,Número de Produtos
Comments,Comentários
Number of Comments,Número de Comentários
Facebook Application ID,ID do Aplicativo do Facebook
Preview and Next Post,Visualizar e Próxima Postagem
Display Prev. & Next Post Links,Exibir links de postagem anterior e próxima
Post List,Lista de Postagens
Posts Per Page,Postagens por página
Use Lazy Loading,Usar carregamento preguiçoso
Automatically load more posts on page.,Carregar mais postagens automaticamente na página.
Auto Triger Padding (px),Preenchimento de acionamento automático (px)
Author,Autor
Display Author Information,Exibir informações do autor
Display Post List By Author,Exibir lista de postagens por autor
Sidebar,Barra lateral
Search Form Widget,Widget de formulário de pesquisa
Categories Widget,Widget de categorias
Recent Posts Widget,Widget de postagens recentes
Posts Number,Número de Postagens
Archive Widget,Widget de arquivo
Tag Cloud Widget,Widget de nuvem de tags
Rss Feed,Feed RSS
Feed Title,Título do Feed
Feed Description,Descrição do Feed
Product Page,Página do Produto
Permalink Settings,Configurações de permalink
Blog Route,Rota do Blog
Permalink Type,Tipo de Permalink
Post Route,Rota da Postagem
Category Route,Rota da Categoria
Archive Route,Rota do Arquivo
Tag Route,Rota da Tag
Author Route,Rota do Autor
Search Route,Rota de Pesquisa
Social,Social
AddThis Enabled,AddThis Habilitado
AddThis ID,ID do AddThis
AddThis Language,Idioma do AddThis
Category Top Navigation,Navegação Superior de Categoria
Display Blog Link,Exibir link do blog
Blog Category,Categoria do Blog
Leave blank to display posts from all categories.,Deixe em branco para exibir postagens de todas as categorias.
Custom Template,Modelo Personalizado
Published,Publicado
Category Information,Informações da Categoria
Enable Category,Ativar Categoria
Category Title,Título da Categoria
Category in Websites,Categoria em Websites
-- Please Select --,-- Selecione --
Tag Title,Título da Tag
Post Information,Informações do Post
Enable Post,Ativar Post
Post Title,Título do Post
New Category,Nova Categoria
Additional Options,Opções Adicionais
Featured Image,Imagem Destaque
Publish Date,Data de Publicação
New Tag,Nova Tag
Open Graph Metadata,Metadata do Open Graph
OG Title,Título do OG
Leave blank to use Meta Title by default.,Deixe em branco para usar os metadados por padrão.
OG Description,Descrição do OG
Leave blank to use Meta Description by default.,Deixe em branco para usar os metadados por padrão.
OG Image,Imagem do OG
Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.,Deixe em branco para usar a Imagem Destaque por padrão. Formatos permitidos de imagem: jpg, jpeg, gif, png.
OG Type,Tipo do OG
Leave blank to use "article" type by default.,Deixe em branco para usar “artigo” como tipo padrão.
Post in Websites,Post em Websites
Related Posts and Products,Posts e Produtos Relacionados
Related posts are shown to customers in addition to the item the customer is looking at.,Posts relacionados são mostrados ao consumidor, além do produto que ele está visualizando.
Add Related Post,Adicionar Post Relacionado
Add Related Posts,Adicionar Posts Relacionados
Add Selected Posts,Adicionar Posts Selecionados
January,Janeiro
February,Fevereiro
March,Março
April,Abril
May,Maio
June,Junho
July,Julho
August,Agosto
September,Setembro
October,Outubro
November,Novembro
December,Dezembro
Jan,Jan
Feb,Fev
Mar,Mar
Apr,Abr
May,Mai
Jun,Jun
Jul,Jul
Aug,Ago
Sep,Set
Oct,Out
Nov,Nov
Dec,Dez
"Reply","Responder"
"Show more replies in this thread","Mostrar mais respostas neste tópico"
"%1 Comment(s)","%1 Comentário(s)"
"Add a comment...","Adicionar um comentário..."
"Add a reply...","Adicionar uma resposta..."
"Sign in to add a comment...","Faça login para adicionar um comentário..."
"Sign in to add a reply...","Faça login para adicionar uma resposta..."
"Full Name","Nome Completo"
"Load more comments","Carregar mais comentários"
"Login to submit comment","Faça login para enviar um comentário"
"You cannot post comment. Blog post is not longer exist.","Você não pode postar um comentário. A postagem do blog não existe mais."
"You cannot reply to this comment. Comment is not longer exist.","Você não pode responder a este comentário. O comentário não existe mais."
"You cannot reply to this comment.","Você não pode responder a este comentário."
"You submitted your comment for moderation.","Você enviou seu comentário para moderação."
"Thank you for your comment.","Obrigado pelo seu comentário."
Read more >,Leia mais >
"Import Categories","Importar Categorias"
"Import Comments","Importar Comentários"
"Import Posts","Importar Postagens"
"Import from aheadWorks Blog Extension","Importar da Extensão de Blog da aheadWorks"
"Import from Joomla","Importar do Joomla"
"Import from Blogger.com","Importar do Blogger.com"
"Import from Drupal","Importar do Drupal"
"Import from CSV","Importar de CSV"
"Import from XML","Importar de XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Sim, eu li o %1 e concordo com o processamento dos meus dados pessoais."
"privacy policy","política de privacidade"
