"Add New Category","Neue Kategorie hinzufügen"
"Yes (Without auto trigger)","Ja (ohne automatischen Trigger)"
"Parameter %1 is required","Parameter %1 ist erforderlich"
"AheadWorks Blog Extension not detected.","Die Aheadworks Blog Extension wurde nicht gefunden."
"The category URL key contains disallowed symbols.","Der URL-Key für Kategorien enthält unerlaubte Zeichen."
"The category URL key cannot be made of only numbers.","Der URL-Key für Kategorien darf nicht nur aus Ziffern bestehen."
"The post URL key contains disallowed symbols.","Der URL-Key für Posts enthält unerlaubte Zeichen."
"The post URL key cannot be made of only numbers.","Der URL-Key für Posts darf nicht nur aus Ziffern bestehen."
"The tag is already exist.","Der Tag existiert bereits."
"The tag URL key contains disallowed symbols.","Der URL-Key für Tags enthält unerlaubte Zeichen."
"The tag URL key cannot be made of only numbers.","Der URL-Key für Tags darf nicht nur aus Ziffern bestehen."
"Related posts","Verwandte Posts"
Posted:,Verfasst:
Categories:,Kategorien:
Tags:,Tags:
Author:,Autor:
"We can't find posts matching the selection.","Wir können keine Posts finden, die der Auswahl entsprechen."
"Read more &#187;","Mehr lesen &#187;"
"See more","Mehr anzeigen"
"Read %1","%1 lesen"
"&larr; Previous","&larr; Zurück"
"Next &rarr;","Weiter &rarr;"
"Related Posts","Verwandte Posts"
Archive,Archiv
"Archive %s","%s archivieren"
"Recent Posts","Neueste Posts"
"RSS Feed","RSS-Feed"
"Search posts here...","Posts hier suchen..."
Tags,Tags
"MageFan Extensions","MageFan Extensions"
"Blog Information","Informationen zum Blog"
"Blog Index Page","Blog-Indexseite"
"Post View","Post-Ansicht"
"Display Related Posts","Verwandte Posts anzeigen"
"Number of Posts","Anzahl der Posts"
"Display Related Products","Verwandte Produkte anzeigen"
"Related Products","Unsere Empfehlungen"
"Number of Products","Anzahl der Products"
Comments,Kommentare
"Number of Comments","Anzahl der Kommentare"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Post","Vorschau und nächster Post"
"Display Prev. & Next Post Links","Links zum vorherigen und nächsten Post anzeigen"
"Post List","Liste der Posts"
"Posts Per Page","Posts pro Seite"
"Use Lazy Loading","Lazy Loading verwenden"
"Automatically load more posts on page.","Automatisch mehr Posts auf der Seite laden."
"Auto Triger Padding (px)","Padding (px) automatisch auslösen"
Author,Autor
"Display Author Information","Autor-Informationen anzeigen"
"Display Post List By Author","Liste der Posts nach Autor anzeigen"
Sidebar,Seitenleiste
"Search Form Widget","Widget für das Suchformular"
"Categories Widget","Widget für Kategorien"
"Recent Posts Widget","Widget für neueste Posts"
"Posts Number","Anzahl der Posts"
"Archive Widget","Archiv-Widget"
"Tag Claud Widget","Widget für die Tag Cloud"
"Rss Feed","RSS-Feed"
"Feed Title","Feed-Titel"
"Feed Description","Feed-Beschreibung"
"Product Page","Produktseite"
"Permalink Settings","Permalink-Einstellungen"
"Blog Route","Blog-Route"
"Permalink Type","Permalink-Typ"
"Post Route","Post-Route"
"Category Route","Kategorie-Route"
"Archive Route","Archiv-Route"
"Tag Route","Tag-Route"
"Author Route","Autor-Route"
"Search Route","Such-Route"
Social,Social
"AddThis Enabled","AddThis aktiviert"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis-Sprache"
"Category Top Navigation","Kategorienavigation oben"
"Display Blog Link","Blog-Link anzeigen"
"Blog Category","Blog-Kategorie"
"Leave blank to display posts from all categories.","Freilassen, um Posts aus allen Kategorien anzuzeigen."
"Custom Template","Benutzerdefinierte Vorlage"
Published,Veröffentlicht
"Category Information","Kategorieinformationen"
"Enable Category","Kategorie aktivieren"
"Category Title","Kategorietitel"
"Category in Websites","Kategorie in Websites"
"-- Please Select --","-- Bitte auswählen --"
"Tag Title","Tag-Titel"
"Post Information","Information zum Post"
"Enable Post","Post aktivieren"
"Post Title","Titel des Posts"
"New Category","Neue Kategorie"
"Additional Options","Weitere Optionen"
"Featured Image","Anzeigebild"
"Publish Date","Veröffentlichungsdatum"
"New Tag","Neuer Tag"
"Open Graph Metadata","Open Graph-Metadaten"
"OG Title","OG-Titel"
"Leave blank to use Meta Title by default.","Freilassen, um den Metatitel als Standard zu verwenden."
"OG Description","OG-Beschreibung"
"Leave blank to use Meta Description by default.","Freilassen, um die Metabeschreibung als Standard zu verwenden."
"OG Image","OG-Bild"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Freilassen, um das Anzeigebild als Standard zu verwenden. Mögliche Dateitypen: jpg, jpeg, gif, png."
"OG Type","OG-Typ"
"Leave blank to use ""article"" type by default.","Freilassen, um ""Artikel"" als Standardtyp zu verwenden."
"Post in Websites","In Websites posten"
"Related Posts and Products","Verwandte Posts und Produkte"
"Related posts are shown to customers in addition to the item the customer is looking at.","Verwandte Posts werden Kunden zusätzlich zu dem Element angezeigt, das sie gerade aufgerufen haben."
"Add Related Post","Verwandten Post hinzufügen"
"Add Related Posts","Verwandte Posts hinzufügen"
"Add Selected Posts","Ausgewählte Posts hinzufügen"
"January","Januar"
"February","Februar"
"March","März"
"April","April"
"May","Mai"
"June","Juni"
"July","Juli"
"August","August"
"September","September"
"October","Oktober"
"November","November"
"December","Dezember"
"Jan","Jan"
"Feb","Feb"
"Mar","Mär"
"Apr","Apr"
"May","Mai"
"Jun","Jun"
"Jul","Jul"
"Aug","Aug"
"Sep","Sep"
"Oct","Okt"
"Nov","Nov"
"Dec","Dez"
"Reply","Antworten"
"Show more replies in this thread","Mehr Antworten in diesem Thread anzeigen"
"%1 Comment(s)","%1 Kommentar(e)"
"Add a comment...","Kommentar hinzufügen..."
"Add a reply...","Antwort hinzufügen..."
"Sign in to add a comment...","Anmelden, um einen Kommentar hinzuzufügen..."
"Sign in to add a reply...","Anmelden, um eine Antwort hinzuzufügen..."
"Full Name","Vollständiger Name"
"Load more comments","Mehr Kommentare laden"
"Login to submit comment","Einloggen, um den Kommentar abzusenden"
"You cannot post comment. Blog post is not longer exist.","Sie können keinen Kommentar hinterlassen. Der Blogpost existiert nicht mehr."
"You cannot reply to this comment. Comment is not longer exist.","Sie können auf diesen Kommentar nicht antworten. Der Kommentar existiert nicht mehr."
"You cannot reply to this comment.","Sie können auf diesen Kommentar nicht antworten"
"You submitted your comment for moderation.","Ihr Kommentare wurde zur Moderation eingereicht."
"Thank you for your comment.","Vielen Dank für Ihren Kommentar."
"Import Categories","Kategorien importieren"
"Import Comments","Kommentare importieren"
"Import Posts","Posts importieren"
"Import from aheadWorks Blog Extension","Aus der Aheadworks Blog Extension importieren"
"Import from Joomla","Aus Joomla importieren"
"Import from Blogger.com","Von Blogger.com importieren"
"Import from Drupal","Aus Drupal importieren"
"Import from CSV","Aus CSV importieren"
"Import from XML","Aus XML importieren"
"Yes, I have read the %1 and agree to the processing of my personal data.","Ja, ich habe die %1 gelesen und stimme der Verarbeitung meiner persönlichen Daten zu."
"privacy policy","Datenschutzbestimmungen"
